STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-02,51.5,17.8,12,11,0,0,0,0,0,20,0,2.2,0,0,39.4,27.8,235.4,67.7,135.2,0,16.6,22.7,10.5
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-03,134.1,82.6,8,6,0,0,0,0,0,26,2,6.7,0,0,53.3,32.8,257.4,22,106.2,0,20.3,26.5,14.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-04,214.1,80,2,2,0,0,0,0,0,30,1,6.7,0,0,44.2,32.2,270.7,13.3,57.2,0,20.6,27.7,13.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-05,442.9,228.8,7,4,0,0,0,0,0,31,24,10,0,0,20.1,35.6,270.7,0,49.6,0,25.7,32.8,18.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-06,751.9,309,12,9,0,0,0,0,0,30,29,18.9,0,0,33.5,37.8,270.7,0,101.2,0,28.6,35.4,21.8
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-07,1062.6,310.7,15,7,0,0,0,0,0,31,28,20,0,0,24.6,37.2,0,0,91.5,0,28.4,34.3,22.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-08,1364.7,302.1,15,10,0,0,0,0,0,31,27,20.6,0,0,34.3,36.1,0,0,182.6,0,28.1,33.7,22.5
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-09,1640.1,275.4,14,10,0,0,0,0,0,30,21,20,0,0,21.1,35.6,0,0,118.6,0,27.5,32.7,22.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-10,1792.1,152,13,11,0,0,0,0,0,31,5,8.3,0,0,31.2,33.3,6.6,6.6,152.7,0,23,27.5,18.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-11,1845.5,53.4,2,1,0,0,0,0,0,28,0,3.9,0,0,27.2,29.4,31.9,25.3,27.5,0,19.3,25.7,12.8
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-12,1850,4.5,8,2,0,0,0,2,0,20,0,-0.6,0,0,7.6,26.7,138.3,106.4,17.8,0,14.8,21.6,8
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-01,24,24,6,4,0,0,0,0,0,21,0,2.2,0,0,35.8,27.2,231.4,93.1,61.7,0,16.1,22.5,9.8
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-02,58.1,34.1,7,4,0,0,0,0,0,24,0,3.3,0,0,18,31.1,273.8,42.4,56.5,0,18,24.2,11.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-03,167.3,109.2,6,4,0,0,0,0,0,31,0,7.8,0,0,55.9,31.7,279.5,5.7,115.2,0,21.7,28.4,15
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-04,289.3,122,8,4,0,0,0,0,0,30,1,5.6,0,0,109.7,32.8,285.3,5.8,173.1,0,22.2,28.8,15.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-05,554.9,265.6,3,1,0,0,0,0,0,31,26,13.3,0,0,39.4,37.8,285.3,0,40,0,26.9,33.9,19.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-06,832,277.1,19,14,0,0,0,0,0,30,23,19.4,0,0,51.1,36.7,285.3,0,235.3,0,27.6,32.9,22.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-07,1130.2,298.2,22,19,0,0,0,0,0,31,29,20,0,0,59.7,35.6,0,0,257.9,0,27.9,33.7,22.2
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-08,1414.7,284.5,25,17,0,0,0,0,0,31,21,21.1,0,0,63,36.1,0,0,306.4,0,27.5,32.6,22.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-09,1659.8,245.1,18,12,0,0,0,0,0,30,7,17.8,0,0,38.4,33.9,0,0,166.9,0,26.5,31,22
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-10,1798.3,138.5,9,8,0,0,0,0,0,30,0,8.3,0,0,13,31.7,8,8,62.8,0,22.5,27.8,17.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-11,1854.6,56.3,8,7,0,0,0,0,0,25,0,4.4,0,0,32.5,30,37.6,29.6,91.1,0,19.2,24.5,13.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1953-12,1901.5,46.9,9,5,0,0,0,0,0,23,0,1.7,0,0,45.5,28.3,110.2,72.6,132.5,0,17.5,22.7,12.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-01,23.4,23.4,3,2,0,0,0,0,0,26,0,3.3,0,0,12.7,27.8,172.8,62.6,21.6,0,17.1,23.2,10.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-02,46.8,23.4,6,4,0,0,0,0,0,24,0,3.9,0,0,27.7,29.4,226,53.2,53.8,0,17.3,24.2,10.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-03,118.6,71.8,8,4,0,0,0,0,0,24,3,2.2,0,0,10.9,32.8,296.6,70.6,32.6,0,18.4,25.4,11.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-04,305,186.4,9,4,0,0,0,0,0,30,11,12.2,0,0,23.4,35,296.6,0,41.5,0,24.6,31,18.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-05,493.8,188.8,8,4,0,0,0,0,0,31,9,12.8,0,0,9.7,33.9,296.6,0,32.3,0,24.4,30.7,18.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-06,768.5,274.7,10,7,0,0,0,0,0,30,23,20,0,0,67.3,36.7,296.6,0,154.4,0,27.5,33.4,21.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-07,1051.4,282.9,19,17,0,0,0,0,0,31,24,20.6,0,0,59.4,35.6,0,0,204.5,0,27.5,32.8,22.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-08,1369.6,318.2,14,9,0,0,0,0,0,31,31,21.1,0,0,27.9,37.2,0,0,79,0,28.6,34.4,22.8
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-09,1648.1,278.5,18,9,0,0,0,0,0,30,24,20.6,0,0,22.9,35.6,0,0,107.6,0,27.6,33.1,22.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-10,1791.5,143.4,6,5,0,0,0,0,0,31,3,6.7,0,0,24.4,33.9,7.1,7.1,76.7,0,22.7,28.6,16.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-11,1817.9,26.4,5,3,0,0,0,0,0,25,0,1.7,0,0,37.3,28.3,57.2,50.1,58.4,0,17.5,23.7,11.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1954-12,1824.6,6.7,4,4,0,0,0,2,0,15,0,-1.1,0,0,21.1,27.2,202.6,145.4,42.9,0,13.9,20.7,7.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-01,13.1,13.1,4,4,0,0,0,1,0,18,0,0,0,0,26.2,27.8,318.1,115.5,49,0,15,21.5,8.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-02,35.3,22.2,1,1,0,0,0,2,0,24,0,-0.6,0,0,14,28.9,376.6,58.5,26.4,0,17,23.7,10.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-03,126.2,90.9,7,5,0,0,0,0,0,25,2,2.8,0,0,13.5,32.8,418.8,42.2,48.5,0,19.9,26.8,13
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-04,261.4,135.2,4,2,0,0,0,0,0,30,4,10,0,0,55.1,33.3,419.9,1.1,63.2,0,22.8,29.6,16.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-05,478.6,217.2,11,7,0,0,0,0,0,29,20,13.9,0,0,36.6,36.7,419.9,0,120.2,0,25.8,33,18.7
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-06,706.6,228,14,9,0,0,0,0,0,30,22,14.4,0,0,40.4,35,419.9,0,157.5,0,25.9,32.4,19.5
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-07,987.2,280.6,18,12,0,0,0,0,0,31,25,20,0,0,33,35,0,0,165.8,0,27.4,33.1,21.7
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-08,1291.1,303.9,13,8,0,0,0,0,0,31,28,20,0,0,21.8,35.6,0,0,123.2,0,28.1,33.7,22.5
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-09,1572.9,281.8,11,9,0,0,0,0,0,30,28,20,0,0,31,35,0,0,122.3,0,27.7,33.4,22
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-10,1719.9,147,9,5,0,0,0,0,0,31,4,8.3,0,0,20.3,33.9,5.9,5.9,46.6,0,22.9,28.9,16.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-11,1766.3,46.4,3,1,0,0,0,0,0,26,0,1.7,0,0,71.1,29.4,37.3,31.4,74.9,0,18.8,25.5,12.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1955-12,1781.1,14.8,6,2,0,0,0,0,0,21,0,1.7,0,0,15.7,28.3,121.2,83.9,24.5,0,16.1,21.7,10.5
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-01,1.4,1.4,4,3,0,0,0,2,0,13,0,-1.1,0,0,33,26.1,292.8,171.6,43.6,0,12.8,19.8,5.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-02,56.7,55.3,6,4,0,0,0,0,0,27,0,3.9,0,0,25.9,29.4,326.2,33.4,43.5,0,19.1,25.5,12.7
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-03,119.6,62.9,3,1,0,0,0,0,0,28,1,2.2,0,0,2.5,32.2,367.9,41.7,3.8,0,19,27.1,10.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-04,215.3,95.7,6,6,0,0,0,0,0,30,2,8.9,0,0,29.7,32.8,371.2,3.3,88.2,0,21.4,28.4,14.5
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-05,442.7,227.4,12,8,0,0,0,0,0,31,20,14.4,0,0,79.5,36.1,371.2,0,200.3,0,25.7,32.4,19
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-06,693.8,251.1,7,6,0,0,0,0,0,30,23,15.6,0,0,37.3,36.1,371.2,0,132.6,0,26.7,33.4,20
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-07,980.1,286.3,15,12,0,0,0,0,0,31,27,19.4,0,0,108.7,36.7,0,0,252,0,27.6,33.5,21.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-08,1284.7,304.6,14,7,0,0,0,0,0,31,28,20,0,0,38.6,36.7,0,0,116.8,0,28.2,34.3,22
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-09,1517.7,233,9,4,0,0,0,0,0,30,18,13.3,0,0,69.3,35,0,0,129.5,0,26.1,31.9,20.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-10,1668,150.3,11,8,0,0,0,0,0,31,0,13.3,0,0,142.7,31.7,0,0,219.5,0,23.2,27.9,18.5
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-11,1725.2,57.2,4,2,0,0,0,1,0,22,0,-1.1,0,0,6.6,30,74,74,13,0,17.8,24.2,11.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1956-12,1777.4,52.2,3,2,0,0,0,0,0,25,0,1.7,0,0,2.8,28.9,137.7,63.7,7.4,0,18,24.4,11.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1957-01,49.6,49.6,3,3,0,0,0,0,0,25,0,1.7,0,0,20.1,29.4,185.6,47.9,38.6,0,18.4,24.3,12.5
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1957-02,111.8,62.2,9,6,0,0,0,0,0,27,0,6.1,0,0,14.5,30.6,205.1,19.5,53.8,0,19.9,25.9,13.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1957-03,159.7,47.9,8,5,0,0,0,0,0,28,0,2.2,0,0,35.1,30,242.8,37.7,86.5,0,18.7,25,12.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1957-04,295.1,135.4,7,6,0,0,0,0,0,30,0,11.7,0,0,47.8,31.1,242.8,0,133.1,0,22.9,28.8,16.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1957-05,508.9,213.8,10,9,0,0,0,0,0,31,18,14.4,0,0,26.4,34.4,242.8,0,126.9,0,25.2,31.2,19.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1957-06,774.2,265.3,14,9,0,0,0,0,0,30,19,18.9,0,0,41.1,35,242.8,0,196.8,0,27.2,32.4,21.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1957-07,1066.6,292.4,16,14,0,0,0,0,0,31,23,20.6,0,0,62.7,36.1,0,0,272.4,0,27.8,33.2,22.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1957-08,1344.2,277.6,14,10,0,0,0,0,0,31,17,17.8,0,0,38.9,36.1,0,0,136,0,27.3,32.3,22.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1957-09,1601.6,257.4,14,10,0,0,0,0,0,30,19,20.6,0,0,35.6,34.4,0,0,165.2,0,27.2,32.2,22.2
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1957-11,,87.5,5,3,0,0,0,0,0,30,1,8.3,0,0,8.4,32.2,,9.1,14.8,0,20.9,26.7,15.2
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1957-12,,10.4,6,3,0,0,0,2,0,21,0,-3.9,0,0,54.4,27.2,,118.9,73.2,0,14.8,21.3,8.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-01,0.3,0.3,11,8,0,0,0,3,0,5,0,-2.2,0,0,27.9,22.8,,205.5,108.9,0,11.7,17,6.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-02,7.6,7.3,7,7,0,0,0,7,0,10,0,-2.8,0,0,65.8,26.7,,200.2,106.7,0,11.4,17.5,5.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-03,41.7,34.1,12,11,0,0,0,0,0,23,0,2.8,0,0,69.3,29.4,,43.4,200.2,0,18,23.3,12.7
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-04,151.4,109.7,5,5,0,0,0,0,0,29,4,10.6,0,0,75.2,35.6,,0.6,120.4,0,22,28.1,15.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-05,346.4,195,8,4,0,0,0,0,0,31,10,10.6,0,0,27.7,35,,0,48,0,24.6,30.4,18.8
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-06,628.9,282.5,13,12,0,0,0,0,0,30,24,19.4,0,0,26.7,36.1,,0,141,0,27.8,33.4,22.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-07,930.6,301.7,22,15,0,0,0,0,0,31,27,20.6,0,0,77.7,35,0,0,333.6,0,28.1,33.5,22.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-08,1230.4,299.8,16,12,0,0,0,0,0,31,25,20.6,0,0,36.3,36.1,0,0,162.2,0,28,33.4,22.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-09,1522.8,292.4,7,4,0,0,0,0,0,30,27,19.4,0,0,22.9,36.1,0,0,56,0,28.1,34,22.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-10,1665.2,142.4,7,5,0,0,0,0,0,29,5,10,0,0,59.4,35,5.6,5.6,165.6,0,22.8,27.8,17.7
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-11,1778,112.8,5,3,0,0,0,0,0,29,0,10,0,0,32,30.6,11.7,6.1,48.3,0,21.9,27.2,16.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1958-12,1790.8,12.8,6,5,0,0,0,0,0,17,0,3.3,0,0,35.8,26.1,104.5,92.8,93.3,0,15.8,20.9,10.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-01,15,15,6,5,0,0,0,4,0,16,0,-1.7,0,0,41.4,28.3,237.7,133.2,120.9,0,14.5,20.4,8.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-02,79.5,64.5,9,7,0,0,0,0,0,28,0,7.8,0,0,71.4,30,248,10.3,112,0,20.3,25.6,15
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-03,116.8,37.3,13,11,0,0,0,0,0,22,0,4.4,0,0,38.6,29.4,300.6,52.6,240.6,0,17.8,23.3,12.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-04,227.5,110.7,9,8,0,0,0,0,0,29,0,7.2,0,0,50.8,31.1,308.7,8.1,149.3,0,21.8,27.3,16.2
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-05,462.7,235.2,12,9,0,0,0,0,0,31,19,14.4,0,0,26.2,35,308.7,0,123.9,0,25.9,31.9,19.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-06,725,262.3,9,8,0,0,0,0,0,30,20,19.4,0,0,105.2,37.2,308.7,0,198.4,0,27.1,32.6,21.5
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-07,1018.2,293.2,16,10,0,0,0,0,0,31,28,21.1,0,0,49.5,35,0,0,216.6,0,27.8,33.4,22.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-08,1299.1,280.9,17,9,0,0,0,0,0,31,24,20.6,0,0,45.2,36.1,0,0,145.3,0,27.7,32.8,22.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-09,1553.7,254.6,15,10,0,0,0,0,0,30,15,19.4,0,0,84.1,34.4,0,0,245.9,0,26.8,31.7,22
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-10,1783.9,230.2,16,10,0,0,0,0,0,31,13,10.6,0,0,26.9,34.4,0.2,0.2,124.1,0,25.8,30.6,20.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-11,1847.6,63.7,3,3,0,0,0,0,0,26,0,0.6,0,0,9.4,31.7,38.3,38.1,22.3,0,19.2,24.5,13.8
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1959-12,1855.7,8.1,6,3,0,0,0,2,0,15,0,0,0,0,17.3,27.2,141,102.7,30.6,0,15.3,21,9.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-01,15.5,15.5,5,3,0,0,0,3,0,21,0,-1.7,0,0,23.1,27.8,252.8,111.8,31.8,0,15.2,21.3,9.2
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-02,30.5,15,12,8,0,0,0,0,0,16,0,1.7,0,0,58.2,27.2,348.5,95.7,139.1,0,15.6,21.3,9.8
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-03,58.9,28.4,9,8,0,0,0,0,0,15,0,1.7,0,0,134.6,30,446.3,97.8,328.8,0,16.1,22.1,10.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-04,180.5,121.6,10,9,0,0,0,0,0,30,2,8.9,0,0,63.5,32.2,450.8,4.5,134.4,0,22.2,28.2,16.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-05,352.9,172.4,6,5,0,0,0,0,0,31,12,10,0,0,39.6,35.6,450.8,0,63.5,0,23.9,30.5,17.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-06,592.1,239.2,15,13,0,0,0,0,0,30,17,15.6,0,0,17.8,33.9,450.8,0,111,0,26.3,32,20.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-07,876.7,284.6,20,18,0,0,0,0,0,31,23,21.1,0,0,65.3,35,0,0,317.6,0,27.5,32.7,22.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-08,1169,292.3,12,9,0,0,0,0,0,31,27,17.8,0,0,95.3,35.6,0,0,180.1,0,27.8,33.4,22.2
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-09,1413.9,244.9,18,15,0,0,0,0,0,30,14,18.3,0,0,101.6,33.9,0,0,289.2,0,26.5,31.2,21.8
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-10,1611.7,197.8,8,5,0,0,0,0,0,31,5,12.8,0,0,19.8,32.8,0,0,56.8,0,24.7,30.4,19
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-11,1687.1,75.4,4,0,0,0,0,0,0,30,0,8.9,0,0,2,30,5,5,3.6,0,20.7,26.4,14.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1960-12,1694.7,7.6,5,3,0,0,0,3,0,13,0,-1.1,0,0,13.7,25.6,166,161,27.5,0,13.4,19.6,7.2
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1961-01,2.3,2.3,7,3,0,0,0,2,0,13,0,-2.2,0,0,18.5,27.2,323.7,157.7,35.1,0,13.3,18.8,7.8
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1961-02,52.9,50.6,6,4,0,0,0,0,0,20,0,3.3,0,0,40.4,31.1,386.9,63.2,88,0,17.9,24.1,11.6
